Wall time,Step,Value
1675528471.0034058,94000,1131.1373291015625
1675528499.2489722,95000,1209.0291748046875
1675528527.9399724,96000,1187.7275390625
1675528556.2197251,97000,1147.013671875
1675528585.0627596,98000,1143.13037109375
1675528613.3808272,99000,1242.00341796875
1675528642.3653617,100000,1260.0494384765625
1675528670.4840662,101000,1245.38818359375
1675528699.1090367,102000,1212.7601318359375
1675528727.9055974,103000,1137.1787109375
1675528756.1885965,104000,1227.721435546875
1675528784.9286325,105000,1174.615478515625
1675528813.2981899,106000,1238.7010498046875
1675528842.3557022,107000,1279.287109375
1675528872.9163003,108000,1300.5831298828125
1675528901.7907937,109000,1291.203125
1675528930.417938,110000,1257.392333984375
1675528958.731935,111000,1336.7906494140625
1675528987.653461,112000,1208.4588623046875
1675529015.8994594,113000,1221.1981201171875
1675529044.7039769,114000,1229.219970703125
1675529073.0819757,115000,1245.2554931640625
1675529102.1144912,116000,1208.689453125
1675529130.4765468,117000,1270.154541015625
1675529159.1821165,118000,1261.6693115234375
1675529188.4556334,119000,1250.5738525390625
1675529216.8036697,120000,1335.2628173828125
1675529245.62471,121000,1252.9688720703125
1675529274.0842626,122000,1266.32568359375
1675529302.9222295,123000,1289.8931884765625
1675529331.0927372,124000,1273.8916015625
1675529359.4037416,125000,1281.4044189453125
1675529388.3203108,126000,1264.8507080078125
1675529416.5083144,127000,1324.212646484375
1675529445.2843125,128000,1304.2537841796875
1675529473.6008885,129000,1259.8818359375
1675529502.678483,130000,1227.33349609375
1675529530.9766738,131000,1249.9337158203125
1675529560.1437724,132000,1267.6383056640625
1675529588.6662996,133000,1234.3033447265625
1675529617.0563364,134000,1215.536376953125
1675529646.215445,135000,1179.445556640625
1675529674.863447,136000,1274.806640625
1675529704.0340555,137000,1295.0787353515625
1675529734.309647,138000,1282.7979736328125
1675529767.4334424,139000,1266.295654296875
1675529798.2379937,140000,1233.113037109375
1675529829.5175083,141000,1237.595703125
1675529863.5096517,142000,1229.27978515625
1675529895.3972118,143000,1205.59814453125
1675529929.1542804,144000,1188.09765625
